gender,age_group,country,product_name,category,quantity,unit_price,order_status,payment_method,review_text
Female,Teenagers,Canada,Fitbit Versa 3,Electronics,3,229,Pending,Credit Card,good
Male,Adults,China,Levi's Jeans,Apparel,4,59,Pending,PayPal,average
Male,Senior,Germany,Lego Star Wars Set,Toys,2,59,Delivered,Cash on Delivery,good
Male,Teenagers,France,Dyson Vacuum,Home & Kitchen,4,399,Delivered,Cash on Delivery,very good
Female,Teenagers,Brazil,Adidas Running Shoes,Apparel,1,110,Returned,Cash on Delivery,very good
Other,Adults,Canada,Fitbit Versa 3,Electronics,5,229,Returned,PayPal,very good
Female,Senior,France,Instant Pot,Home & Kitchen,1,99,Returned,Credit Card,very good
Female,Adults,UK,Levi's Jeans,Apparel,2,59,Pending,Credit Card,very good
Female,Adults,China,Sony Headphones,Electronics,5,199,Shipped,Credit Card,bad
Other,Teenagers,Brazil,Dyson Vacuum,Home & Kitchen,4,399,Cancelled,PayPal,very good
Male,Teenagers,Germany,Dyson Vacuum,Home & Kitchen,4,399,Returned,Credit Card,very good
Male,Senior,Japan,Wilson Tennis Racket,Sports,2,149,Returned,Credit Card,good
Male,Adults,UK,Kindle Paperwhite,Books,1,129,Shipped,Credit Card,very bad
Female,Adults,China,iPhone 14,Electronics,2,999,Delivered,Credit Card,very good
Female,Senior,China,Barbie Dreamhouse,Toys,4,199,Cancelled,Credit Card,very bad
Other,Senior,USA,Adidas Running Shoes,Apparel,1,110,Shipped,Credit Card,bad
Female,Senior,Japan,Kindle Paperwhite,Books,5,129,Cancelled,Credit Card,good
Other,Adults,China,Wilson Tennis Racket,Sports,2,149,Delivered,PayPal,good
Other,Senior,France,Harry Potter Box Set,Books,1,80,Delivered,Cash on Delivery,very bad
Female,Adults,Canada,Fitbit Versa 3,Electronics,3,229,Cancelled,Cash on Delivery,bad
Male,Teenagers,India,Barbie Dreamhouse,Toys,4,199,Pending,Cash on Delivery,bad
Female,Adults,Australia,Barbie Dreamhouse,Toys,5,199,Returned,PayPal,bad
Male,Senior,Canada,Nike Air Max,Apparel,4,120,Delivered,PayPal,average
Other,Senior,France,Kindle Paperwhite,Books,2,129,Pending,Cash on Delivery,good
Female,Senior,Brazil,iPhone 14,Electronics,2,999,Pending,Cash on Delivery,very bad
Female,Senior,USA,Adidas Running Shoes,Apparel,3,110,Pending,Cash on Delivery,average
Other,Teenagers,Germany,Kindle Paperwhite,Books,1,129,Returned,Cash on Delivery,average
Male,Senior,France,Samsung Galaxy S23,Electronics,3,899,Shipped,Cash on Delivery,good
Male,Senior,Brazil,Fitbit Versa 3,Electronics,5,229,Pending,Credit Card,very good
Female,Senior,USA,Sony Headphones,Electronics,5,199,Cancelled,Credit Card,very good
Female,Teenagers,UK,Samsung Galaxy S23,Electronics,1,899,Returned,PayPal,very bad
Male,Senior,France,Dyson Vacuum,Home & Kitchen,4,399,Returned,PayPal,bad
Female,Senior,UK,Adidas Running Shoes,Apparel,4,110,Cancelled,Credit Card,very good
Male,Adults,India,Kindle Paperwhite,Books,3,129,Returned,Credit Card,very bad
Other,Adults,Australia,Samsung Galaxy S23,Electronics,4,899,Returned,Cash on Delivery,good
Male,Senior,UK,Wilson Tennis Racket,Sports,3,149,Cancelled,PayPal,average
Female,Adults,Canada,Sony Headphones,Electronics,1,199,Delivered,Cash on Delivery,good
Male,Senior,France,iPhone 14,Electronics,2,999,Returned,PayPal,bad
Female,Senior,Germany,iPhone 14,Electronics,4,999,Cancelled,Credit Card,very good
Other,Adults,Brazil,Nike Air Max,Apparel,3,120,Shipped,PayPal,good
Male,Adults,Australia,Levi's Jeans,Apparel,5,59,Pending,Credit Card,good
Male,Senior,Japan,Kindle Paperwhite,Books,4,129,Shipped,PayPal,very bad
Male,Teenagers,UK,Instant Pot,Home & Kitchen,2,99,Pending,Cash on Delivery,bad
Female,Senior,Australia,Fitbit Versa 3,Electronics,4,229,Returned,PayPal,very good
Female,Senior,France,Levi's Jeans,Apparel,1,59,Delivered,Cash on Delivery,good
Other,Adults,China,Barbie Dreamhouse,Toys,1,199,Returned,Cash on Delivery,average
Other,Senior,Brazil,Samsung Galaxy S23,Electronics,1,899,Pending,Cash on Delivery,good
